Loading CUDA module...
Loading Conda...
Environment 'MBML' activated.
Starting Python script...
Using device: cuda
Using device: cuda
Saving visualizations to: /zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/outputs_VAE
Dataset initialized with 512 total patches.
--- Labeled DataLoader success (using patched data) ---
Dataset initialized with 512 total patches.
--- Unlabeled DataLoader success (using patched data) ---
--- Training the VAE on Patched Volumetric Data ---
Epoch 37/400 | Avg Train Loss: 1.6437 | KLD Beta: 0.0500
  Seg Loss: 0.3272 | Recon Loss: 0.0075 | KLD Loss: 0.0030
Epoch 38/400 | Avg Train Loss: 1.6594 | KLD Beta: 0.0500
  Seg Loss: 0.3303 | Recon Loss: 0.0076 | KLD Loss: 0.0030
Epoch 39/400 | Avg Train Loss: 1.6706 | KLD Beta: 0.0500
  Seg Loss: 0.3326 | Recon Loss: 0.0075 | KLD Loss: 0.0029
  Visuals saved to: /zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/outputs_VAE/AG_epoch_0040_predictions.png
Epoch 40/400 | Avg Train Loss: 1.6494 | KLD Beta: 0.0500
  Seg Loss: 0.3284 | Recon Loss: 0.0075 | KLD Loss: 0.0029
Epoch 41/400 | Avg Train Loss: 1.6549 | KLD Beta: 0.0500
  Seg Loss: 0.3294 | Recon Loss: 0.0076 | KLD Loss: 0.0031
Epoch 42/400 | Avg Train Loss: 1.6411 | KLD Beta: 0.0500
  Seg Loss: 0.3266 | Recon Loss: 0.0077 | KLD Loss: 0.0029
Epoch 43/400 | Avg Train Loss: 1.6627 | KLD Beta: 0.0500
  Seg Loss: 0.3310 | Recon Loss: 0.0077 | KLD Loss: 0.0031
Epoch 44/400 | Avg Train Loss: 1.6227 | KLD Beta: 0.0500
  Seg Loss: 0.3230 | Recon Loss: 0.0076 | KLD Loss: 0.0030
Epoch 45/400 | Avg Train Loss: 1.6569 | KLD Beta: 0.0500
  Seg Loss: 0.3298 | Recon Loss: 0.0078 | KLD Loss: 0.0031
Epoch 46/400 | Avg Train Loss: 1.6178 | KLD Beta: 0.0500
  Seg Loss: 0.3220 | Recon Loss: 0.0077 | KLD Loss: 0.0029
Epoch 47/400 | Avg Train Loss: 1.6445 | KLD Beta: 0.0500
  Seg Loss: 0.3273 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 48/400 | Avg Train Loss: 1.6044 | KLD Beta: 0.0500
  Seg Loss: 0.3193 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 49/400 | Avg Train Loss: 1.6580 | KLD Beta: 0.0500
  Seg Loss: 0.3300 | Recon Loss: 0.0077 | KLD Loss: 0.0031
Epoch 50/400 | Avg Train Loss: 1.6086 | KLD Beta: 0.0500
  Seg Loss: 0.3201 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 51/400 | Avg Train Loss: 1.6355 | KLD Beta: 0.0500
  Seg Loss: 0.3255 | Recon Loss: 0.0077 | KLD Loss: 0.0031
Epoch 52/400 | Avg Train Loss: 1.6452 | KLD Beta: 0.0500
  Seg Loss: 0.3274 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 53/400 | Avg Train Loss: 1.6136 | KLD Beta: 0.0500
  Seg Loss: 0.3211 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 54/400 | Avg Train Loss: 1.6313 | KLD Beta: 0.0500
  Seg Loss: 0.3247 | Recon Loss: 0.0079 | KLD Loss: 0.0031
Epoch 55/400 | Avg Train Loss: 1.6105 | KLD Beta: 0.0500
  Seg Loss: 0.3205 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 56/400 | Avg Train Loss: 1.6221 | KLD Beta: 0.0500
  Seg Loss: 0.3228 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 57/400 | Avg Train Loss: 1.6423 | KLD Beta: 0.0500
  Seg Loss: 0.3269 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 58/400 | Avg Train Loss: 1.6136 | KLD Beta: 0.0500
  Seg Loss: 0.3211 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 59/400 | Avg Train Loss: 1.6246 | KLD Beta: 0.0500
  Seg Loss: 0.3233 | Recon Loss: 0.0078 | KLD Loss: 0.0029
  Visuals saved to: /zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/outputs_VAE/AG_epoch_0060_predictions.png
Epoch 60/400 | Avg Train Loss: 1.6173 | KLD Beta: 0.0500
  Seg Loss: 0.3219 | Recon Loss: 0.0077 | KLD Loss: 0.0029
Epoch 61/400 | Avg Train Loss: 1.6069 | KLD Beta: 0.0500
  Seg Loss: 0.3198 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 62/400 | Avg Train Loss: 1.5962 | KLD Beta: 0.0500
