Loading CUDA module...
Loading Conda...
Environment 'MBML' activated.
Starting Python script...
Using device: cuda
Using device: cuda
Saving visualizations to: /zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/outputs_VAE
Dataset initialized with 512 total patches.
--- Labeled DataLoader success (using patched data) ---
Dataset initialized with 512 total patches.
--- Unlabeled DataLoader success (using patched data) ---
--- Training the VAE on Patched Volumetric Data ---
Epoch 1/400 | Avg Train Loss: 0.8881 | KLD Beta: 0.0000
  Seg Loss: 0.4389 | Recon Loss: 0.0104 | KLD Loss: 13942.1050
Epoch 2/400 | Avg Train Loss: 0.8479 | KLD Beta: 0.0025
  Seg Loss: 0.3795 | Recon Loss: 0.0071 | KLD Loss: 32.7086
Epoch 3/400 | Avg Train Loss: 0.7643 | KLD Beta: 0.0050
  Seg Loss: 0.3743 | Recon Loss: 0.0068 | KLD Loss: 1.7958
Epoch 4/400 | Avg Train Loss: 0.7534 | KLD Beta: 0.0075
  Seg Loss: 0.3667 | Recon Loss: 0.0067 | KLD Loss: 1.7637
Epoch 5/400 | Avg Train Loss: 0.7429 | KLD Beta: 0.0100
  Seg Loss: 0.3667 | Recon Loss: 0.0066 | KLD Loss: 0.2836
Epoch 6/400 | Avg Train Loss: 0.7375 | KLD Beta: 0.0125
  Seg Loss: 0.3650 | Recon Loss: 0.0067 | KLD Loss: 0.0576
Epoch 7/400 | Avg Train Loss: 0.7380 | KLD Beta: 0.0150
  Seg Loss: 0.3656 | Recon Loss: 0.0067 | KLD Loss: 0.0010
Epoch 8/400 | Avg Train Loss: 0.7305 | KLD Beta: 0.0175
  Seg Loss: 0.3619 | Recon Loss: 0.0066 | KLD Loss: 0.0001
Epoch 9/400 | Avg Train Loss: 0.7254 | KLD Beta: 0.0200
  Seg Loss: 0.3594 | Recon Loss: 0.0067 | KLD Loss: 0.0001
Epoch 10/400 | Avg Train Loss: 0.7271 | KLD Beta: 0.0225
  Seg Loss: 0.3602 | Recon Loss: 0.0067 | KLD Loss: 0.0001
Epoch 11/400 | Avg Train Loss: 0.7266 | KLD Beta: 0.0250
  Seg Loss: 0.3599 | Recon Loss: 0.0068 | KLD Loss: 0.0000
Epoch 12/400 | Avg Train Loss: 0.7245 | KLD Beta: 0.0275
  Seg Loss: 0.3589 | Recon Loss: 0.0068 | KLD Loss: 0.0000
Epoch 13/400 | Avg Train Loss: 0.7215 | KLD Beta: 0.0300
  Seg Loss: 0.3574 | Recon Loss: 0.0068 | KLD Loss: 0.0003
Epoch 14/400 | Avg Train Loss: 0.7250 | KLD Beta: 0.0325
  Seg Loss: 0.3592 | Recon Loss: 0.0066 | KLD Loss: 0.0012
Epoch 15/400 | Avg Train Loss: 0.7129 | KLD Beta: 0.0350
  Seg Loss: 0.3531 | Recon Loss: 0.0066 | KLD Loss: 0.0004
Epoch 16/400 | Avg Train Loss: 0.7136 | KLD Beta: 0.0375
  Seg Loss: 0.3534 | Recon Loss: 0.0067 | KLD Loss: 0.0005
Epoch 17/400 | Avg Train Loss: 0.7198 | KLD Beta: 0.0400
  Seg Loss: 0.3565 | Recon Loss: 0.0068 | KLD Loss: 0.0003
Epoch 18/400 | Avg Train Loss: 0.7126 | KLD Beta: 0.0425
  Seg Loss: 0.3529 | Recon Loss: 0.0067 | KLD Loss: 0.0004
Epoch 19/400 | Avg Train Loss: 0.7090 | KLD Beta: 0.0450
  Seg Loss: 0.3512 | Recon Loss: 0.0066 | KLD Loss: 0.0004
Epoch 20/400 | Avg Train Loss: 0.7075 | KLD Beta: 0.0475
  Seg Loss: 0.3504 | Recon Loss: 0.0067 | KLD Loss: 0.0004
Epoch 21/400 | Avg Train Loss: 0.7146 | KLD Beta: 0.0500
  Seg Loss: 0.3539 | Recon Loss: 0.0068 | KLD Loss: 0.0004
Epoch 22/400 | Avg Train Loss: 0.7038 | KLD Beta: 0.0500
  Seg Loss: 0.3486 | Recon Loss: 0.0067 | KLD Loss: 0.0003
Epoch 23/400 | Avg Train Loss: 0.7139 | KLD Beta: 0.0500
  Seg Loss: 0.3535 | Recon Loss: 0.0068 | KLD Loss: 0.0003
Epoch 24/400 | Avg Train Loss: 0.6966 | KLD Beta: 0.0500
  Seg Loss: 0.3449 | Recon Loss: 0.0067 | KLD Loss: 0.0003
Epoch 25/400 | Avg Train Loss: 0.7022 | KLD Beta: 0.0500
  Seg Loss: 0.3478 | Recon Loss: 0.0067 | KLD Loss: 0.0003
Epoch 26/400 | Avg Train Loss: 0.7029 | KLD Beta: 0.0500
  Seg Loss: 0.3481 | Recon Loss: 0.0067 | KLD Loss: 0.0003
Epoch 27/400 | Avg Train Loss: 0.7046 | KLD Beta: 0.0500
  Seg Loss: 0.3489 | Recon Loss: 0.0067 | KLD Loss: 0.0003
Epoch 28/400 | Avg Train Loss: 0.6996 | KLD Beta: 0.0500
  Seg Loss: 0.3465 | Recon Loss: 0.0066 | KLD Loss: 0.0003
Epoch 29/400 | Avg Train Loss: 0.7047 | KLD Beta: 0.0500
  Seg Loss: 0.3489 | Recon Loss: 0.0068 | KLD Loss: 0.0003
Epoch 30/400 | Avg Train Loss: 0.7084 | KLD Beta: 0.0500
  Seg Loss: 0.3508 | Recon Loss: 0.0068 | KLD Loss: 0.0003
Epoch 31/400 | Avg Train Loss: 0.7030 | KLD Beta: 0.0500
  Seg Loss: 0.3481 | Recon Loss: 0.0068 | KLD Loss: 0.0003
Epoch 32/400 | Avg Train Loss: 0.7008 | KLD Beta: 0.0500
  Seg Loss: 0.3470 | Recon Loss: 0.0067 | KLD Loss: 0.0038
Epoch 33/400 | Avg Train Loss: 0.6929 | KLD Beta: 0.0500
  Seg Loss: 0.3431 | Recon Loss: 0.0068 | KLD Loss: -0.0001
Epoch 34/400 | Avg Train Loss: 0.6951 | KLD Beta: 0.0500
  Seg Loss: 0.3441 | Recon Loss: 0.0069 | KLD Loss: 0.0005
Epoch 35/400 | Avg Train Loss: 0.7004 | KLD Beta: 0.0500
  Seg Loss: 0.3468 | Recon Loss: 0.0067 | KLD Loss: 0.0002
Epoch 36/400 | Avg Train Loss: 0.6881 | KLD Beta: 0.0500
  Seg Loss: 0.3406 | Recon Loss: 0.0068 | KLD Loss: 0.0003
Epoch 37/400 | Avg Train Loss: 0.6965 | KLD Beta: 0.0500
  Seg Loss: 0.3449 | Recon Loss: 0.0068 | KLD Loss: 0.0004
Epoch 38/400 | Avg Train Loss: 0.6931 | KLD Beta: 0.0500
  Seg Loss: 0.3431 | Recon Loss: 0.0068 | KLD Loss: 0.0006
Epoch 39/400 | Avg Train Loss: 0.6899 | KLD Beta: 0.0500
  Seg Loss: 0.3410 | Recon Loss: 0.0068 | KLD Loss: 0.0236
Epoch 40/400 | Avg Train Loss: 0.6909 | KLD Beta: 0.0500
  Seg Loss: 0.3420 | Recon Loss: 0.0069 | KLD Loss: 0.0016
Epoch 41/400 | Avg Train Loss: 0.6883 | KLD Beta: 0.0500
